company_id,snapshot_month,status_code,snapshot_url
aerotime,2023-04-01,200,https://web.archive.org/web/20230402105420/aerotime.com
aerotime,2023-06-01,301,https://web.archive.org/web/20230615064114/aerotime.com
aerotime,2023-09-01,200,https://web.archive.org/web/20230909202820/aerotime.com
aerotime,2023-11-01,200,https://web.archive.org/web/20231128232539/aerotime.com
aerotime,2024-05-01,301,https://web.archive.org/web/20240522005509/aerotime.com
aerotime,2024-07-01,200,https://web.archive.org/web/20240716142439/aerotime.com
aerotime,2024-08-01,200,https://web.archive.org/web/20240803153607/aerotime.com
aerotime,2024-09-01,200,https://web.archive.org/web/20240907194003/aerotime.com
aerotime,2024-10-01,200,https://web.archive.org/web/20241003162017/aerotime.com
aerotime,2025-01-01,200,https://web.archive.org/web/20250122203902/aerotime.com
aerotime,2025-02-01,308,https://web.archive.org/web/20250205013445/aerotime.com
aerotime,2025-04-01,308,https://web.archive.org/web/20250401083019/aerotime.com
aerotime,2025-05-01,200,https://web.archive.org/web/20250514042309/aerotime.com
aerotime,2025-06-01,200,https://web.archive.org/web/20250616061306/aerotime.com
aerotime,2025-07-01,308,https://web.archive.org/web/20250710043214/aerotime.com
aerotime,2025-08-01,200,https://web.archive.org/web/20250811165209/aerotime.com
aerotime,2025-09-01,308,https://web.archive.org/web/20250913062735/aerotime.com
aerotime,2025-10-01,200,https://web.archive.org/web/20251010180214/aerotime.com
aerotime,2025-11-01,200,https://web.archive.org/web/20251113141330/aerotime.com
aerotime,2025-12-01,200,https://web.archive.org/web/20251201220334/aerotime.com
aerotime,2026-01-01,200,https://web.archive.org/web/20260114161604/aerotime.com
aerotime,2026-02-01,200,https://web.archive.org/web/20260208133114/aerotime.com
aerotime,2026-03-01,200,https://web.archive.org/web/20260313195620/aerotime.com
aerotime,2026-04-01,200,https://web.archive.org/web/20260416104921/aerotime.com
airtrain-ai,2023-09-01,301,https://web.archive.org/web/20230906231219/airtrain.ai
airtrain-ai,2023-11-01,301,https://web.archive.org/web/20231106190005/airtrain.ai
airtrain-ai,2023-12-01,301,https://web.archive.org/web/20231223111204/airtrain.ai
airtrain-ai,2024-01-01,301,https://web.archive.org/web/20240105015939/airtrain.ai
airtrain-ai,2024-03-01,200,https://web.archive.org/web/20240303194647/airtrain.ai
airtrain-ai,2024-04-01,200,https://web.archive.org/web/20240411095427/airtrain.ai
airtrain-ai,2024-05-01,200,https://web.archive.org/web/20240523034031/airtrain.ai
airtrain-ai,2024-06-01,301,https://web.archive.org/web/20240616095010/airtrain.ai
airtrain-ai,2024-07-01,200,https://web.archive.org/web/20240706044810/airtrain.ai
airtrain-ai,2024-08-01,200,https://web.archive.org/web/20240813083050/airtrain.ai
airtrain-ai,2024-09-01,200,https://web.archive.org/web/20240907114101/airtrain.ai
airtrain-ai,2024-10-01,200,https://web.archive.org/web/20241003144027/airtrain.ai
airtrain-ai,2024-11-01,200,https://web.archive.org/web/20241110204451/airtrain.ai
airtrain-ai,2024-12-01,200,https://web.archive.org/web/20241214135142/airtrain.ai
airtrain-ai,2025-01-01,200,https://web.archive.org/web/20250108150435/airtrain.ai
airtrain-ai,2025-02-01,200,https://web.archive.org/web/20250209181946/airtrain.ai
airtrain-ai,2025-03-01,200,https://web.archive.org/web/20250326145902/airtrain.ai
airtrain-ai,2025-04-01,308,https://web.archive.org/web/20250417191307/airtrain.ai
airtrain-ai,2025-05-01,200,https://web.archive.org/web/20250523150833/airtrain.ai
airtrain-ai,2025-06-01,200,https://web.archive.org/web/20250625021040/airtrain.ai
airtrain-ai,2025-07-01,200,https://web.archive.org/web/20250710231020/airtrain.ai
airtrain-ai,2025-08-01,200,https://web.archive.org/web/20250813135821/airtrain.ai
airtrain-ai,2025-10-01,302,https://web.archive.org/web/20251025204332/airtrain.ai
airtrain-ai,2026-03-01,200,https://web.archive.org/web/20260307200139/airtrain.ai
airtrain-ai,2026-04-01,200,https://web.archive.org/web/20260404150720/airtrain.ai
aisupervision,2021-11-01,301,https://web.archive.org/web/20211125181300/aisupervision.com
aisupervision,2021-12-01,200,https://web.archive.org/web/20211208211853/aisupervision.com
aisupervision,2022-02-01,301,https://web.archive.org/web/20220217121213/aisupervision.com
aisupervision,2022-03-01,200,https://web.archive.org/web/20220330204026/aisupervision.com
aisupervision,2022-04-01,-,https://web.archive.org/web/20220401022220/aisupervision.com
aisupervision,2022-05-01,200,https://web.archive.org/web/20220518024708/aisupervision.com
aisupervision,2022-06-01,200,https://web.archive.org/web/20220604230126/aisupervision.com
aisupervision,2022-09-01,200,https://web.archive.org/web/20220914085212/aisupervision.com
aisupervision,2022-10-01,200,https://web.archive.org/web/20221002024950/aisupervision.com
aisupervision,2022-11-01,200,https://web.archive.org/web/20221122053251/aisupervision.com
aisupervision,2022-12-01,301,https://web.archive.org/web/20221206045601/aisupervision.com
aisupervision,2023-01-01,200,https://web.archive.org/web/20230129015842/aisupervision.com
aisupervision,2023-03-01,200,https://web.archive.org/web/20230306060437/aisupervision.com
aisupervision,2023-06-01,200,https://web.archive.org/web/20230601182937/aisupervision.com
aisupervision,2023-07-01,200,https://web.archive.org/web/20230720071533/aisupervision.com
aisupervision,2023-11-01,200,https://web.archive.org/web/20231101004420/aisupervision.com
aisupervision,2023-12-01,200,https://web.archive.org/web/20231207093505/aisupervision.com
aisupervision,2024-01-01,200,https://web.archive.org/web/20240108135319/aisupervision.com
aisupervision,2024-02-01,200,https://web.archive.org/web/20240221114554/aisupervision.com
aisupervision,2024-03-01,200,https://web.archive.org/web/20240301070101/aisupervision.com
aisupervision,2024-04-01,200,https://web.archive.org/web/20240420064501/aisupervision.com
aisupervision,2024-05-01,-,https://web.archive.org/web/20240519164424/aisupervision.com
aisupervision,2024-06-01,301,https://web.archive.org/web/20240616030245/aisupervision.com
aisupervision,2024-07-01,200,https://web.archive.org/web/20240729200733/aisupervision.com
aisupervision,2024-08-01,200,https://web.archive.org/web/20240819224101/aisupervision.com
aisupervision,2024-09-01,200,https://web.archive.org/web/20240901175337/aisupervision.com
aisupervision,2024-12-01,200,https://web.archive.org/web/20241205031708/aisupervision.com
aisupervision,2025-01-01,301,https://web.archive.org/web/20250121122934/aisupervision.com
aisupervision,2025-02-01,301,https://web.archive.org/web/20250214134745/aisupervision.com
aisupervision,2025-03-01,200,https://web.archive.org/web/20250307125047/aisupervision.com
aisupervision,2025-04-01,200,https://web.archive.org/web/20250429005545/aisupervision.com
aisupervision,2025-05-01,200,https://web.archive.org/web/20250525042510/aisupervision.com
aisupervision,2025-06-01,200,https://web.archive.org/web/20250614073239/aisupervision.com
aisupervision,2025-07-01,200,https://web.archive.org/web/20250712032212/aisupervision.com
aisupervision,2025-08-01,200,https://web.archive.org/web/20250805225716/aisupervision.com
aisupervision,2025-11-01,200,https://web.archive.org/web/20251107055135/aisupervision.com
aisupervision,2025-12-01,200,https://web.archive.org/web/20251205142626/aisupervision.com
aisupervision,2026-02-01,200,https://web.archive.org/web/20260215042617/aisupervision.com
aisupervision,2026-03-01,200,https://web.archive.org/web/20260308070302/aisupervision.com
aisupervision,2026-04-01,200,https://web.archive.org/web/20260418095834/aisupervision.com
aisupervision,2026-05-01,200,https://web.archive.org/web/20260510075145/aisupervision.com
aklimate,2022-05-01,200,https://web.archive.org/web/20220519091522/getaklimate.com
aklimate,2022-08-01,200,https://web.archive.org/web/20220815161818/getaklimate.com
aklimate,2022-12-01,200,https://web.archive.org/web/20221204040456/getaklimate.com
aklimate,2023-02-01,308,https://web.archive.org/web/20230224171320/getaklimate.com
aklimate,2023-03-01,200,https://web.archive.org/web/20230331033044/getaklimate.com
aklimate,2023-10-01,308,https://web.archive.org/web/20231030140048/getaklimate.com
aklimate,2023-11-01,200,https://web.archive.org/web/20231129210015/getaklimate.com
aklimate,2023-12-01,200,https://web.archive.org/web/20231205122515/getaklimate.com
aklimate,2024-02-01,200,https://web.archive.org/web/20240227155721/getaklimate.com
aklimate,2024-04-01,200,https://web.archive.org/web/20240424145250/getaklimate.com
aklimate,2024-06-01,200,https://web.archive.org/web/20240616080720/getaklimate.com
aklimate,2024-07-01,200,https://web.archive.org/web/20240723195909/getaklimate.com
aklimate,2024-08-01,200,https://web.archive.org/web/20240803220701/getaklimate.com
aklimate,2024-09-01,200,https://web.archive.org/web/20240913140541/getaklimate.com
aklimate,2024-10-01,200,https://web.archive.org/web/20241009024937/getaklimate.com
aklimate,2024-11-01,200,https://web.archive.org/web/20241110235248/getaklimate.com
aklimate,2025-02-01,-,https://web.archive.org/web/20250220203231/getaklimate.com
aklimate,2025-04-01,-,https://web.archive.org/web/20250405083046/getaklimate.com
aklimate,2025-05-01,200,https://web.archive.org/web/20250514233003/getaklimate.com
aklimate,2025-07-01,-,https://web.archive.org/web/20250711215201/getaklimate.com
akudo,2020-11-01,200,https://web.archive.org/web/20201125112609/akudo.in
akudo,2021-01-01,200,https://web.archive.org/web/20210116121319/akudo.in
akudo,2021-03-01,200,https://web.archive.org/web/20210301164413/akudo.in
akudo,2021-04-01,200,https://web.archive.org/web/20210419033008/akudo.in
akudo,2021-05-01,200,https://web.archive.org/web/20210509020213/akudo.in
akudo,2021-06-01,200,https://web.archive.org/web/20210619130328/akudo.in
akudo,2021-07-01,200,https://web.archive.org/web/20210726171817/akudo.in
akudo,2021-08-01,301,https://web.archive.org/web/20210825071142/akudo.in
akudo,2021-09-01,200,https://web.archive.org/web/20210901041305/akudo.in
akudo,2021-12-01,200,https://web.archive.org/web/20211203043652/akudo.in
akudo,2022-01-01,200,https://web.archive.org/web/20220127194135/akudo.in
akudo,2022-02-01,200,https://web.archive.org/web/20220221094458/akudo.in
akudo,2022-04-01,200,https://web.archive.org/web/20220428050634/akudo.in
akudo,2022-05-01,301,https://web.archive.org/web/20220522002249/akudo.in
akudo,2022-06-01,200,https://web.archive.org/web/20220607112513/akudo.in
akudo,2022-08-01,200,https://web.archive.org/web/20220821033056/akudo.in
akudo,2022-09-01,200,https://web.archive.org/web/20220909011049/akudo.in
akudo,2022-10-01,200,https://web.archive.org/web/20221003183942/akudo.in
akudo,2022-11-01,200,https://web.archive.org/web/20221130102149/akudo.in
akudo,2022-12-01,301,https://web.archive.org/web/20221202015706/akudo.in
akudo,2023-01-01,301,https://web.archive.org/web/20230111102544/akudo.in
akudo,2023-02-01,301,https://web.archive.org/web/20230201014757/akudo.in
akudo,2023-03-01,-,https://web.archive.org/web/20230315141424/akudo.in
akudo,2023-04-01,200,https://web.archive.org/web/20230426220857/akudo.in
akudo,2023-05-01,301,https://web.archive.org/web/20230512123943/akudo.in
akudo,2023-06-01,301,https://web.archive.org/web/20230606012932/akudo.in
akudo,2023-07-01,200,https://web.archive.org/web/20230711132333/akudo.in
akudo,2023-08-01,301,https://web.archive.org/web/20230815074615/akudo.in
akudo,2024-03-01,301,https://web.archive.org/web/20240327222930/akudo.in
akudo,2024-05-01,301,https://web.archive.org/web/20240520012159/akudo.in
akudo,2024-06-01,200,https://web.archive.org/web/20240606221754/akudo.in
akudo,2024-07-01,301,https://web.archive.org/web/20240724170206/akudo.in
akudo,2024-09-01,301,https://web.archive.org/web/20240908042122/akudo.in
akudo,2025-04-01,409,https://web.archive.org/web/20250407164458/akudo.in
algofi,2021-08-01,200,https://web.archive.org/web/20210808230212/algofi.org
algofi,2021-09-01,302,https://web.archive.org/web/20210901043346/algofi.org
algofi,2021-10-01,200,https://web.archive.org/web/20211022222338/algofi.org
algofi,2021-11-01,301,https://web.archive.org/web/20211125185455/algofi.org
algofi,2021-12-01,200,https://web.archive.org/web/20211201034135/algofi.org
algofi,2022-01-01,200,https://web.archive.org/web/20220103204003/algofi.org
algofi,2022-03-01,301,https://web.archive.org/web/20220312094929/algofi.org
algofi,2022-04-01,302,https://web.archive.org/web/20220403190440/algofi.org
algofi,2022-05-01,301,https://web.archive.org/web/20220506162855/algofi.org
algofi,2022-06-01,302,https://web.archive.org/web/20220609183814/algofi.org
algofi,2022-07-01,-,https://web.archive.org/web/20220702180527/algofi.org
algofi,2022-08-01,200,https://web.archive.org/web/20220813040654/algofi.org
algofi,2022-09-01,200,https://web.archive.org/web/20220916032532/algofi.org
algofi,2022-10-01,301,https://web.archive.org/web/20221004014204/algofi.org
algofi,2022-11-01,301,https://web.archive.org/web/20221115052744/algofi.org
algofi,2022-12-01,200,https://web.archive.org/web/20221205044502/algofi.org
algofi,2023-01-01,301,https://web.archive.org/web/20230115185814/algofi.org
algofi,2023-02-01,200,https://web.archive.org/web/20230201132343/algofi.org
algofi,2023-03-01,-,https://web.archive.org/web/20230306031512/algofi.org
algofi,2023-04-01,200,https://web.archive.org/web/20230410194042/algofi.org
algofi,2023-05-01,200,https://web.archive.org/web/20230523224450/algofi.org
algofi,2023-07-01,301,https://web.archive.org/web/20230701220725/algofi.org
algofi,2023-08-01,301,https://web.archive.org/web/20230817060216/algofi.org
algofi,2023-11-01,200,https://web.archive.org/web/20231126113813/algofi.org
algofi,2023-12-01,200,https://web.archive.org/web/20231205214532/algofi.org
algofi,2024-03-01,200,https://web.archive.org/web/20240304190628/algofi.org
algofi,2024-05-01,200,https://web.archive.org/web/20240520012207/algofi.org
algofi,2024-06-01,301,https://web.archive.org/web/20240601064925/algofi.org
alltruists,2021-03-01,301,https://web.archive.org/web/20210319172330/alltruists.com
alltruists,2021-05-01,200,https://web.archive.org/web/20210515022533/alltruists.com
