company_id,event_date,event_type,detail,source,source_url
afternoon-co,2024-11-01,yc_listed,Listed in YC directory (Fall 2024),yc,https://www.ycombinator.com/companies/afternoon-co
afterquery,2025-01-30,yc_listed,Listed in YC directory (Winter 2025),yc,https://www.ycombinator.com/companies/afterquery
agape,2022-07-11,yc_listed,Listed in YC directory (Summer 2021),yc,https://www.ycombinator.com/companies/agape
agave,2022-01-18,yc_listed,Listed in YC directory (Winter 2022),yc,https://www.ycombinator.com/companies/agave
agency,2022-01-07,yc_listed,Listed in YC directory (Winter 2022),yc,https://www.ycombinator.com/companies/agency
agendapro,2021-03-07,yc_listed,Listed in YC directory (Winter 2021),yc,https://www.ycombinator.com/companies/agendapro
agentcard,2026-06-05,yc_listed,Listed in YC directory (Summer 2026),yc,https://www.ycombinator.com/companies/agentcard
agentcollect,2023-07-03,yc_listed,Listed in YC directory (Summer 2023),yc,https://www.ycombinator.com/companies/agentcollect
agentic-fabriq,2025-11-04,yc_listed,Listed in YC directory (Winter 2026),yc,https://www.ycombinator.com/companies/agentic-fabriq
agentic-labs-2,2024-02-22,yc_listed,Listed in YC directory (Winter 2024),yc,https://www.ycombinator.com/companies/agentic-labs-2
agentin-ai,2025-02-20,yc_listed,Listed in YC directory (Winter 2025),yc,https://www.ycombinator.com/companies/agentin-ai
agentmail,2025-06-27,yc_listed,Listed in YC directory (Summer 2025),yc,https://www.ycombinator.com/companies/agentmail
agentnoon,2022-03-08,yc_listed,Listed in YC directory (Winter 2022),yc,https://www.ycombinator.com/companies/agentnoon
agentphone,2026-05-05,yc_listed,Listed in YC directory (Spring 2026),yc,https://www.ycombinator.com/companies/agentphone
agentrouter,2022-03-17,yc_listed,Listed in YC directory (Winter 2022),yc,https://www.ycombinator.com/companies/agentrouter
aglide,2023-07-13,yc_listed,Listed in YC directory (Summer 2023),yc,https://www.ycombinator.com/companies/aglide
agnost-ai,2026-07-08,yc_listed,Listed in YC directory (Summer 2026),yc,https://www.ycombinator.com/companies/agnost-ai
ahazou,2021-07-16,yc_listed,Listed in YC directory (Summer 2021),yc,https://www.ycombinator.com/companies/ahazou
ai-2,2024-07-02,yc_listed,Listed in YC directory (Summer 2024),yc,https://www.ycombinator.com/companies/ai-2
ai-tech-packs,2021-06-30,yc_listed,Listed in YC directory (Summer 2021),yc,https://www.ycombinator.com/companies/ai-tech-packs
aice,2026-04-01,yc_listed,Listed in YC directory (Spring 2026),yc,https://www.ycombinator.com/companies/aice
aidy,2024-01-18,yc_listed,Listed in YC directory (Winter 2024),yc,https://www.ycombinator.com/companies/aidy
aiprise,2022-06-30,yc_listed,Listed in YC directory (Summer 2022),yc,https://www.ycombinator.com/companies/aiprise
aircaps,2025-10-15,yc_listed,Listed in YC directory (Fall 2025),yc,https://www.ycombinator.com/companies/aircaps
airgoods,2023-07-18,yc_listed,Listed in YC directory (Summer 2023),yc,https://www.ycombinator.com/companies/airgoods
airhart-aeronautics,2022-07-22,yc_listed,Listed in YC directory (Summer 2022),yc,https://www.ycombinator.com/companies/airhart-aeronautics
airhart-aeronautics,2025-12-03,funding,"Form D filed ($4,560,848 sold)",sec_edgar,https://www.sec.gov/Archives/edgar/data/2098734/000209873425000001/primary_doc.xml
airmyne,2022-02-24,yc_listed,Listed in YC directory (Winter 2022),yc,https://www.ycombinator.com/companies/airmyne
airmyne,2022-03-28,funding,"Form D filed ($625,000 sold)",sec_edgar,https://www.sec.gov/Archives/edgar/data/1918204/000191820422000002/primary_doc.xml
airtrain-ai,2022-07-05,yc_listed,Listed in YC directory (Summer 2022),yc,https://www.ycombinator.com/companies/airtrain-ai
airweave,2025-04-14,yc_listed,Listed in YC directory (Spring 2025),yc,https://www.ycombinator.com/companies/airweave
airwork,2022-01-10,yc_listed,Listed in YC directory (Winter 2022),yc,https://www.ycombinator.com/companies/airwork
aisdr,2023-06-04,yc_listed,Listed in YC directory (Summer 2023),yc,https://www.ycombinator.com/companies/aisdr
aisupervision,2022-02-17,yc_listed,Listed in YC directory (Winter 2022),yc,https://www.ycombinator.com/companies/aisupervision
aivideo-com,2023-07-23,yc_listed,Listed in YC directory (Summer 2023),yc,https://www.ycombinator.com/companies/aivideo-com
akkari,2026-06-04,yc_listed,Listed in YC directory (Spring 2026),yc,https://www.ycombinator.com/companies/akkari
aklimate,2022-01-19,yc_listed,Listed in YC directory (Winter 2022),yc,https://www.ycombinator.com/companies/aklimate
akudo,2021-08-21,yc_listed,Listed in YC directory (Summer 2021),yc,https://www.ycombinator.com/companies/akudo
akute-health,2021-08-02,yc_listed,Listed in YC directory (Summer 2021),yc,https://www.ycombinator.com/companies/akute-health
alaan,2022-12-16,yc_listed,Listed in YC directory (Winter 2023),yc,https://www.ycombinator.com/companies/alaan
alai,2024-01-30,yc_listed,Listed in YC directory (Winter 2024),yc,https://www.ycombinator.com/companies/alai
alara,2025-08-15,yc_listed,Listed in YC directory (Summer 2025),yc,https://www.ycombinator.com/companies/alara
alba-orbital,2021-03-02,yc_listed,Listed in YC directory (Winter 2021),yc,https://www.ycombinator.com/companies/alba-orbital
alba-orbital,2021-05-14,funding,"Form D filed ($3,400,004 sold)",sec_edgar,https://www.sec.gov/Archives/edgar/data/1861578/000186157821000001/primary_doc.xml
albacore-inc,2025-07-29,yc_listed,Listed in YC directory (Summer 2025),yc,https://www.ycombinator.com/companies/albacore-inc
albedo,2021-01-25,yc_listed,Listed in YC directory (Winter 2021),yc,https://www.ycombinator.com/companies/albedo
albiware-inc,2022-06-13,yc_listed,Listed in YC directory (Summer 2022),yc,https://www.ycombinator.com/companies/albiware-inc
alchemize,2026-05-11,yc_listed,Listed in YC directory (Spring 2026),yc,https://www.ycombinator.com/companies/alchemize
aldara,2022-08-10,yc_listed,Listed in YC directory (Summer 2022),yc,https://www.ycombinator.com/companies/aldara
aleph,2021-07-29,yc_listed,Listed in YC directory (Summer 2021),yc,https://www.ycombinator.com/companies/aleph
aleph,2023-11-28,funding,"Form D filed ($16,707,000 sold)",sec_edgar,https://www.sec.gov/Archives/edgar/data/1999166/000199916623000001/primary_doc.xml
aleph,2025-09-19,funding,"Form D filed ($29,236,491 sold)",sec_edgar,https://www.sec.gov/Archives/edgar/data/1999166/000199916625000002/primary_doc.xml
