company_id,story_id,title,url,points,num_comments,created_at,matched_query
denormalized,41258276,Show HN: Denormalized – Embeddable Stream Processing in Rust and DataFusion,https://github.com/probably-nothing-labs/denormalized,125,31,2024-08-15 13:16:47,"""Denormalized"""
denormalized,35924259,I stopped worrying and learned to love denormalized tables,https://glean.io/blog-posts/why-i-stopped-worrying-and-learned-to-love-denormalized-tables,108,98,2023-05-12 20:40:05,"""Denormalized"""
denormalized,42128021,Show HN: Python Stream Processing with Denormalized,https://github.com/probably-nothing-labs/denormalized/tree/main/py-denormalized,20,2,2024-11-13 12:22:41,"""Denormalized"""
denormalized,42444780,Real-Time Feature Engineering with Denormalized and Feast,https://www.denormalized.io/blog/streaming-features-with-feast,13,0,2024-12-17 15:06:54,"""Denormalized"""
grai,36758122,Launch HN: Grai (YC S22) – Open-Source Data Observability Platform,"",101,44,2023-07-17 09:40:22,"""Grai"""
hedgehog,27550255,Launch HN: Hedgehog (YC S21) – Cryptocurrency Portfolio Manager,"",158,137,2021-06-18 09:48:19,"""Hedgehog"""
hedgehog,30327940,Sonic Robo Blast 2: a 3D open-source Sonic the Hedgehog fangame built on Doom,https://www.srb2.org/,150,57,2022-02-13 21:57:43,"""Hedgehog"""
hedgehog,20053354,"Hedgehog Ethereum wallet: Build DApps like apps, without centralized keys",https://hedgehog.audius.co/,144,56,2019-05-30 13:02:43,"""Hedgehog"""
hedgehog,29545026,Sonic the Hedgehog for Commodore 64/128 + REU,https://www.lemon64.com/forum/viewtopic.php?t=78945,111,31,2021-12-13 16:39:33,"""Hedgehog"""
hedgehog,2473836,WebGL Sonic the Hedgehog Game Engine,http://forums.sonicretro.org/index.php?showtopic=24965,101,18,2011-04-22 08:23:55,"""Hedgehog"""
hedgehog,6413283,Sonic the Hedgehog for the Atari 2600,http://1morecastle.com/2013/09/the-homebrew-corner-sonic-the-hedgehog-for-the-atari-2600/,72,10,2013-09-19 14:21:04,"""Hedgehog"""
hedgehog,24817117,A hedgehog highway that knits a village together,https://www.theguardian.com/environment/2020/oct/17/prickly-business-hedgehog-highway-knits-a-village-together-kirtlington-oxfordshire-aoe,69,12,2020-10-18 07:39:11,"""Hedgehog"""
hedgehog,34538850,Sonic hedgehog protein,https://en.wikipedia.org/wiki/Sonic_hedgehog_protein,58,43,2023-01-26 16:06:49,"""Hedgehog"""
hedgehog,10184584,"'Hedgehog' Robots Hop, Tumble in Microgravity",http://www.jpl.nasa.gov/news/news.php?feature=4712&again,56,10,2015-09-08 04:29:10,"""Hedgehog"""
hedgehog,14865545,Why Sonic the Hedgehog is 'incorrect' game design,https://www.theguardian.com/technology/2017/jul/27/why-sonic-the-hedgehog-incorrect-game-design,52,58,2017-07-27 10:24:39,"""Hedgehog"""
hedgehog,10768913,The History of the Hedgehog,https://web.archive.org/web/20151226024230/https://thebrowser.com/articles/the-history-of-the-hedgehog/,48,11,2015-12-20 19:24:17,"""Hedgehog"""
hedgehog,2423317,Hedgehog: an embedded Lisp in 20k,http://hedgehog.oliotalo.fi/,42,7,2011-04-08 07:38:18,"""Hedgehog"""
